time,seconds_elapsed,z,y,x
1710962121182648000,0.15164794921875,0,0,0
1710962121240558600,0.20955859375,2.13364315032959,1.3637523651123047,-0.7299351692199707
1710962121298468900,0.26746875,1.015976905822754,-2.389558792114258,1.1361641883850098
1710962121356379100,0.325379150390625,1.8329038619995117,-3.674787998199463,-0.7283115386962891
1710962121414289400,0.383289306640625,2.496741771697998,-4.228331089019775,3.9156322479248047
1710962121472199700,0.44119970703125,0.14825329184532166,-2.940791130065918,3.717315673828125
1710962121530110000,0.49910986328125,3.815932035446167,-1.951704978942871,4.395995616912842
1710962121588020500,0.5570205078125,-0.9759460687637329,-2.8248777389526367,-0.23116731643676758
1710962121645930800,0.6149306640625,2.7988715171813965,-2.591958522796631,-1.2067580223083496
1710962121703841000,0.672841064453125,-2.5196642875671387,-3.211759090423584,-2.8535521030426025
1710962121761751300,0.730751220703125,0.3148043751716614,-2.3756184577941895,-2.850451707839966
1710962121819661600,0.78866162109375,-2.0294909477233887,-1.0740509033203125,-0.5781264305114746
1710962121877571800,0.84657177734375,-1.4113352298736572,-0.8778572082519531,-1.2391376495361328
1710962121935482400,0.904482421875,-1.3104760646820068,-0.650789737701416,-0.24591493606567383
1710962121993392600,0.962392578125,-1.8141918182373047,-0.02711200714111328,-0.43891143798828125
1710962122051303000,1.020302978515625,-2.571214199066162,-0.5084195137023926,0.4263901710510254
1710962122109213200,1.078213134765625,1.3664178848266602,-0.6910018920898438,-1.7673394680023193
1710962122167123700,1.136123779296875,-3.2283148765563965,-0.4368405342102051,-0.6459231376647949
1710962122225034000,1.194033935546875,-4.638867378234863,-1.6224174499511719,-1.3611183166503906
1710962122282944300,1.2519443359375,5.590121269226074,0.5970869064331055,1.1511015892028809
1710962122340854500,1.3098544921875,-6.453624725341797,-1.5897397994995117,-0.5324544906616211
1710962122398764800,1.367764892578125,2.377804756164551,-0.6193199157714844,-1.0684490203857422
1710962122456675300,1.42567529296875,-2.5556414127349854,-0.4452800750732422,-0.6498994827270508
1710962122514585600,1.483585693359375,0.17105770111083984,0.04599618911743164,-0.015082836151123047
1710962122572496000,1.541495849609375,-1.5555062294006348,-0.3707466125488281,-0.34201860427856445
1710962122630406100,1.59940625,-0.8641065359115601,0.033327579498291016,-0.4508347511291504
1710962122688316700,1.657316650390625,-1.2798433303833008,0.10491466522216797,0.2801399230957031
1710962122746227000,1.71522705078125,-1.1513209342956543,-0.08670759201049805,0.030910491943359375
1710962122804137200,1.77313720703125,-0.9944208264350891,-0.08683013916015625,0.3922591209411621
1710962122862047700,1.8310478515625,0.21522516012191772,0.09581327438354492,-0.19169855117797852
1710962122919958000,1.8889580078125,-1.6074724197387695,-0.09045219421386719,0.30097198486328125
1710962122977868300,1.946868408203125,0.06482267379760742,0.20029497146606445,-0.19747447967529297
1710962123035778800,2.00477880859375,0.7428663969039917,0.13812637329101562,-1.4383769035339355
1710962123093689000,2.062689208984375,7.783297538757324,-2.2403621673583984,-4.122377872467041
1710962123151599400,2.120599365234375,0.11518287658691406,-1.9631006717681885,0.00008749961853027344
1710962123209510000,2.178510009765625,-8.847146034240723,0.6142765283584595,0.9553782939910889
1710962123267420200,2.236420166015625,-1.9482793807983398,-1.1022086143493652,-1.469594955444336
1710962123325330400,2.294330322265625,3.0072312355041504,-0.993375837802887,-1.8470906019210815
1710962123383241000,2.352240966796875,4.126044273376465,-0.21865327656269073,-0.5338928699493408
1710962123441151200,2.410151123046875,3.270796298980713,-0.19039347767829895,-0.10507278144359589
1710962123499061500,2.4680615234375,2.2399468421936035,-0.33586809039115906,-0.9593033194541931
1710962123556972000,2.525971923828125,3.372960090637207,-0.41698259115219116,-0.8145043849945068
1710962123614882300,2.58388232421875,3.196531295776367,-0.10864865779876709,-0.1309504508972168
1710962123672792800,2.641792724609375,2.400463104248047,-0.00035512447357177734,0.7190843820571899
1710962123730703000,2.699703125,-0.4295940399169922,-0.32716554403305054,1.8233642578125
1710962123788613600,2.757613525390625,-2.7836408615112305,-1.260918378829956,0.10121619701385498
1710962123846524000,2.81552392578125,-3.4596328735351562,-1.6479909420013428,-0.6460309028625488
1710962123904434200,2.87343408203125,-5.798135757446289,-1.308107614517212,1.5082554817199707
1710962123962344700,2.9313447265625,-4.303452491760254,-1.226318359375,-1.6330506801605225
1710962124020255000,2.9892548828125,-10.209117889404297,-2.929840087890625,-2.2823920249938965
1710962124078165500,3.04716552734375,-7.773540496826172,-1.1815104484558105,-3.0574088096618652
1710962124136075800,3.10507568359375,-5.65335750579834,-0.1803392916917801,1.0828320980072021
1710962124193986300,3.162986328125,-5.0230817794799805,-0.23784852027893066,-1.2684532403945923
1710962124251896600,3.220896484375,-5.758322715759277,-1.3295226097106934,-1.088168740272522
1710962124309806800,3.278806884765625,-1.261073112487793,-2.0685977935791016,2.205859899520874
1710962124367717400,3.33671728515625,4.539000034332275,-0.6383997797966003,2.1863198280334473
1710962124425627600,3.394627685546875,5.021340847015381,-0.6724123954772949,1.0085535049438477
1710962124483538200,3.4525380859375,1.3594188690185547,0.017615720629692078,-0.013271927833557129
1710962124541448400,3.510448486328125,0.01648426055908203,-1.0064597129821777,-1.4638984203338623
1710962124599359000,3.56835888671875,1.6751976013183594,-2.3569393157958984,-2.35872745513916
1710962124657269200,3.626269287109375,4.456126689910889,-4.054729461669922,-0.7578681707382202
1710962124715179800,3.6841796875,8.071178436279297,-0.5056681632995605,-7.1659345626831055
1710962124773090000,3.742090087890625,0.7928895950317383,1.3185374736785889,-1.9021196365356445
